setor_coluna,demanda_final_Rmi,emissao_total_tCO2e,emissao_direta_tCO2e,emissao_indireta_tCO2e,pct_indireta
01,797886.12310745,51981585.67431986,13559304.28110592,38422281.39321394,73.91517764375445
02,409863.84940193006,35966039.910168074,13808637.986357111,22157401.923810963,61.606454252826346
03,4527867.215693209,460331745.8319436,124409399.71750198,335922346.1144416,72.97396913335606
04,234086.63685152,18846371.882190857,7664490.441975155,11181881.440215703,59.33174570741745
05,811017.5800000001,43945450.308802694,0.0,43945450.308802694,100.0
06,87781.152,3305664.882478277,111592.83680943794,3194072.0456688395,96.62419389814929
07,268797.701,85417494.11131871,62506552.23836338,22910941.87295533,26.822306263277973
08,390370.29912951,7361833.234889048,0.0,7361833.234889048,100.0
09,590135.7009999999,5613870.201830811,0.0,5613870.201830811,100.0
10,834637.159,2238281.490279419,0.0,2238281.490279419,100.0
11,1716999.5275171997,47024296.044034384,0.0,47024296.044034384,100.0
12,1991667.477,30348275.242944494,809876.5664004287,29538398.676544067,97.33139178448465
